datetime,Beam Irradiance (W/m2),Diffuse Irradiance (W/m2),Ambient Temperature (C),Wind Speed (m/s),Albedo,Plane of Array Irradiance (W/m2),Cell Temperature (C),DC Array Output (W),AC System Output (W),Energy Generated (MWh),Energy Consumption (no battery),Excess Energy,Battery Charge,Energy Consumption Battery
2023-01-01 00:00:00,0,0,9.5,3.4,0.15,0.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 01:00:00,0,0,9.2,3.6,0.15,0.0,9.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 02:00:00,0,0,9.0,3.4,0.15,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 03:00:00,0,0,8.9,3.3,0.15,0.0,8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 04:00:00,0,0,8.8,3.1,0.15,0.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 05:00:00,0,0,8.7,2.9,0.15,0.0,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 06:00:00,0,0,8.8,2.8,0.15,0.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 07:00:00,0,1,8.8,2.6,0.15,0.886,8.814,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 08:00:00,0,38,8.9,2.8,0.15,35.297,9.561,6249875.101,5264380.754,5.264380753999999,0.0,0.0,0.0,0.0
2023-01-01 09:00:00,8,109,9.1,2.9,0.15,109.199,11.158,20964609.41,19754843.8,19.7548438,19.7548438,0.0,5.264380753999999,19.7548438
2023-01-01 10:00:00,30,162,9.2,3.1,0.15,174.447,12.403,33841387.41,32435363.33,32.435363329999994,32.435363329999994,0.0,5.264380753999999,32.435363329999994
2023-01-01 11:00:00,5,188,9.5,3.3,0.15,184.914,12.853,35549247.13,34117193.1,34.1171931,34.1171931,0.0,5.264380753999999,34.1171931
2023-01-01 12:00:00,2,173,9.9,3.4,0.15,182.473,13.187,34587099.45,33169709.77,33.16970977,33.16970977,0.0,5.264380753999999,33.16970977
2023-01-01 13:00:00,0,135,10.2,3.6,0.15,128.726,12.418,24497385.82,23233776.21,23.23377621,23.23377621,0.0,5.264380753999999,23.23377621
2023-01-01 14:00:00,0,130,10.1,3.1,0.15,115.448,12.171,22063250.56,20836740.27,20.83674027,20.83674027,0.0,5.264380753999999,20.83674027
2023-01-01 15:00:00,0,94,9.9,2.6,0.15,87.352,11.619,16579252.9,15436325.7,15.4363257,15.4363257,0.0,5.264380753999999,15.4363257
2023-01-01 16:00:00,0,34,9.8,2.1,0.15,30.838,10.454,5363088.631,4391110.037,4.391110036999999,0.0,0.0,5.264380753999999,0.0
2023-01-01 17:00:00,0,1,9.4,1.4,0.15,0.886,9.418,0.0,0.0,0.0,0.0,0.0,9.655490790999998,9.655490790999998
2023-01-01 18:00:00,0,0,9.0,0.7,0.15,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 19:00:00,0,0,8.6,0.0,0.15,0.0,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 20:00:00,0,0,8.4,0.0,0.15,0.0,8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 21:00:00,0,0,8.3,0.0,0.15,0.0,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 22:00:00,0,0,8.1,0.0,0.15,0.0,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 23:00:00,0,0,7.9,0.0,0.15,0.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 00:00:00,0,0,7.8,0.0,0.15,0.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 01:00:00,0,0,7.6,0.0,0.15,0.0,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 02:00:00,0,0,7.4,0.4,0.15,0.0,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 03:00:00,0,0,7.3,0.7,0.15,0.0,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 04:00:00,0,0,7.1,1.0,0.15,0.0,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 05:00:00,0,0,6.9,1.4,0.15,0.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 06:00:00,0,0,6.8,1.7,0.15,0.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 07:00:00,0,1,6.6,2.1,0.15,0.886,6.616,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 08:00:00,0,24,8.4,1.4,0.15,20.211,8.894,3503201.903,2559570.348,2.5595703480000003,0.0,0.0,0.0,0.0
2023-01-02 09:00:00,0,71,10.2,0.7,0.15,62.026,12.038,11601111.49,10534057.5,10.5340575,10.5340575,0.0,2.5595703480000003,10.5340575
2023-01-02 10:00:00,0,111,12.0,0.0,0.15,96.847,15.552,18136239.57,16969581.92,16.96958192,16.96958192,0.0,2.5595703480000003,16.96958192
2023-01-02 11:00:00,1,163,12.2,0.0,0.15,157.654,18.253,29512562.42,28172515.14,28.172515139999998,28.172515139999998,0.0,2.5595703480000003,28.172515139999998
2023-01-02 12:00:00,5,199,12.4,0.0,0.15,211.281,20.602,39083767.97,37597843.35,37.59784335,37.59784335,0.0,2.5595703480000003,37.59784335
2023-01-02 13:00:00,9,208,12.6,0.0,0.15,206.311,20.535,38644970.86,37165734.06,37.16573406,37.16573406,0.0,2.5595703480000003,37.16573406
2023-01-02 14:00:00,29,159,12.4,0.0,0.15,171.296,18.855,32388783.52,31004898.97,31.004898969999996,31.004898969999996,0.0,2.5595703480000003,31.004898969999996
2023-01-02 15:00:00,10,104,12.2,0.0,0.15,105.273,16.141,19787055.3,18595237.12,18.59523712,18.59523712,0.0,2.5595703480000003,18.59523712
2023-01-02 16:00:00,0,34,12.0,0.0,0.15,30.554,13.109,5263973.784,4293505.826,4.2935058260000005,0.0,0.0,2.5595703480000003,0.0
2023-01-02 17:00:00,0,1,12.1,0.9,0.15,0.886,12.121,0.0,0.0,0.0,0.0,0.0,6.853076174000001,6.853076174000001
2023-01-02 18:00:00,0,0,12.1,1.7,0.15,0.0,12.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 19:00:00,0,0,12.2,2.6,0.15,0.0,12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 20:00:00,0,0,11.7,1.7,0.15,0.0,11.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 21:00:00,0,0,11.1,0.9,0.15,0.0,11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 22:00:00,0,0,10.6,0.0,0.15,0.0,10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 23:00:00,0,0,11.2,1.4,0.15,0.0,11.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-03 00:00:00,0,0,11.8,2.7,0.15,0.0,11.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-03 01:00:00,0,0,12.4,4.1,0.15,0.0,12.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-03 02:00:00,0,0,12.6,4.6,0.15,0.0,12.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-03 03:00:00,0,0,12.9,5.1,0.15,0.0,12.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-03 04:00:00,0,0,13.1,5.7,0.15,0.0,13.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
