time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2023-01-01 00:00:00,11.9,8.9,82.0,0.0,,0.0,5.4,,1030.7,,2.0
2023-01-01 01:00:00,10.6,7.1,79.0,0.0,,31.0,1.8,,1031.1,,2.0
2023-01-01 02:00:00,10.5,6.8,78.0,0.0,,26.0,1.8,,1031.0,,2.0
2023-01-01 03:00:00,10.7,7.9,83.0,0.0,,360.0,7.6,,1030.2,,2.0
2023-01-01 04:00:00,10.7,7.6,81.0,0.0,,98.0,5.5,,1030.5,,2.0
2023-01-01 05:00:00,10.6,7.3,80.0,0.0,,97.0,3.7,,1030.7,,2.0
2023-01-01 06:00:00,10.2,7.1,81.0,0.0,,0.0,7.6,,1031.3,,1.0
2023-01-01 07:00:00,11.8,6.9,72.0,0.0,,23.0,1.8,,1031.2,,1.0
2023-01-01 08:00:00,13.2,7.0,66.0,0.0,,360.0,1.8,,1031.4,,1.0
2023-01-01 09:00:00,15.5,8.2,62.0,0.0,,360.0,3.6,,1031.5,,2.0
2023-01-01 10:00:00,16.1,7.8,58.0,0.0,,355.0,3.7,,1031.1,,2.0
2023-01-01 11:00:00,16.7,7.3,54.0,0.0,,355.0,5.5,,1030.7,,2.0
2023-01-01 12:00:00,17.6,7.3,51.0,0.0,,350.0,9.4,,1029.8,,2.0
2023-01-01 13:00:00,16.5,6.6,52.0,0.0,,10.0,5.5,,1030.2,,2.0
2023-01-01 14:00:00,15.8,6.8,55.0,0.0,,22.0,5.5,,1030.2,,2.0
2023-01-01 15:00:00,15.5,7.3,58.0,0.0,,360.0,9.4,,1029.9,,1.0
2023-01-01 16:00:00,14.6,7.2,61.0,0.0,,12.0,7.4,,1030.2,,1.0
2023-01-01 17:00:00,13.7,7.0,64.0,0.0,,17.0,5.5,,1030.4,,1.0
2023-01-01 18:00:00,12.5,6.8,68.0,0.0,,360.0,3.6,,1030.9,,1.0
2023-01-01 19:00:00,12.2,6.5,68.0,0.0,,20.0,1.8,,1030.9,,1.0
2023-01-01 20:00:00,11.7,6.0,68.0,0.0,,14.0,3.7,,1031.2,,1.0
2023-01-01 21:00:00,10.7,7.2,79.0,0.0,,360.0,3.6,,1031.5,,1.0
2023-01-01 22:00:00,10.5,6.6,77.0,0.0,,350.0,3.7,,1031.4,,1.0
2023-01-01 23:00:00,10.1,6.2,77.0,0.0,,350.0,3.7,,1031.4,,1.0
2023-01-02 00:00:00,9.2,5.0,75.0,0.0,,360.0,3.6,,1031.0,,1.0
2023-01-02 01:00:00,9.5,5.7,77.0,0.0,,14.0,1.8,,1031.3,,1.0
2023-01-02 02:00:00,9.3,5.3,76.0,0.0,,40.0,1.8,,1031.2,,1.0
2023-01-02 03:00:00,9.0,2.8,65.0,0.0,,360.0,5.4,,1030.3,,1.0
2023-01-02 04:00:00,8.8,3.0,67.0,0.0,,198.0,3.7,,1030.6,,1.0
2023-01-02 05:00:00,8.7,3.1,68.0,0.0,,198.0,1.8,,1030.9,,1.0
2023-01-02 06:00:00,9.6,2.2,60.0,0.0,0.0,20.0,5.4,,1031.3,,1.0
2023-01-02 07:00:00,10.4,3.9,64.0,0.0,,230.0,0.0,,1031.4,,1.0
2023-01-02 08:00:00,12.1,4.3,59.0,0.0,,261.0,0.0,,1031.7,,1.0
2023-01-02 09:00:00,14.0,2.6,46.0,0.0,,0.0,0.0,,1031.6,,1.0
2023-01-02 10:00:00,14.7,3.2,46.0,0.0,,267.0,0.0,,1031.0,,1.0
2023-01-02 11:00:00,15.5,3.9,46.0,0.0,,261.0,1.8,,1030.5,,1.0
2023-01-02 12:00:00,16.8,8.2,57.0,0.0,,210.0,7.6,,1029.4,,1.0
2023-01-02 13:00:00,15.6,5.2,50.0,0.0,,277.0,1.8,,1029.7,,1.0
2023-01-02 14:00:00,14.9,5.7,54.0,0.0,,8.0,1.8,,1029.6,,1.0
2023-01-02 15:00:00,14.6,8.3,66.0,0.0,,360.0,9.4,,1028.9,,1.0
2023-01-02 16:00:00,13.7,8.1,69.0,0.0,,144.0,7.4,,1029.2,,1.0
2023-01-02 17:00:00,12.7,7.6,71.0,0.0,,120.0,5.5,,1029.5,,1.0
2023-01-02 18:00:00,12.7,8.4,75.0,0.0,,360.0,7.6,,1029.4,,1.0
2023-01-02 19:00:00,11.3,6.8,74.0,0.0,,108.0,1.8,,1029.7,,1.0
2023-01-02 20:00:00,10.8,6.4,74.0,0.0,,102.0,3.7,,1029.6,,1.0
2023-01-02 21:00:00,10.7,7.9,83.0,0.0,,360.0,5.4,,1029.2,,1.0
2023-01-02 22:00:00,10.4,7.5,82.0,0.0,,56.0,3.7,,1029.1,,1.0
2023-01-02 23:00:00,10.1,7.2,82.0,0.0,,56.0,3.7,,1028.9,,1.0
2023-01-03 00:00:00,10.2,8.0,86.0,0.0,,360.0,7.6,,1028.6,,1.0
2023-01-03 01:00:00,9.6,6.5,81.0,0.0,,61.0,1.8,,1028.7,,1.0
2023-01-03 02:00:00,9.4,6.1,80.0,0.0,,65.0,1.8,,1028.6,,1.0
2023-01-03 03:00:00,9.7,8.1,90.0,0.0,,360.0,7.6,,1027.9,,1.0
2023-01-03 04:00:00,9.6,7.5,87.0,0.0,,124.0,5.5,,1028.2,,1.0
2023-01-03 05:00:00,9.3,7.1,86.0,0.0,,153.0,1.8,,1028.4,,1.0
2023-01-03 06:00:00,9.6,8.0,90.0,0.0,0.0,360.0,5.4,,1028.6,,1.0
2023-01-03 07:00:00,10.7,6.4,75.0,0.0,,182.0,0.0,,1028.9,,1.0
2023-01-03 08:00:00,12.2,6.7,69.0,0.0,,209.0,0.0,,1029.0,,1.0
2023-01-03 09:00:00,13.6,9.3,75.0,0.0,,360.0,5.4,,1028.7,,1.0
2023-01-03 10:00:00,14.7,6.5,58.0,0.0,,248.0,0.0,,1028.5,,1.0
2023-01-03 11:00:00,15.6,6.3,54.0,0.0,,205.0,1.8,,1027.9,,1.0
2023-01-03 12:00:00,16.2,9.6,65.0,0.0,,0.0,5.4,,1026.3,,1.0
2023-01-03 13:00:00,15.8,6.8,55.0,0.0,,212.0,1.8,,1027.0,,1.0
2023-01-03 14:00:00,15.1,7.4,60.0,0.0,,222.0,1.8,,1026.8,,1.0
2023-01-03 15:00:00,13.6,9.1,74.0,0.0,,180.0,1.8,,1026.0,,1.0
2023-01-03 16:00:00,12.7,9.0,78.0,0.0,,163.0,1.8,,1026.2,,1.0
2023-01-03 17:00:00,11.9,8.7,81.0,0.0,,146.0,1.8,,1026.5,,1.0
2023-01-03 18:00:00,11.7,9.3,85.0,0.0,,360.0,5.4,,1026.5,,1.0
2023-01-03 19:00:00,10.7,8.3,85.0,0.0,,127.0,1.8,,1026.7,,1.0
2023-01-03 20:00:00,10.3,7.5,83.0,0.0,,111.0,1.8,,1026.7,,1.0
2023-01-03 21:00:00,12.1,10.2,88.0,0.0,,360.0,3.6,,1026.2,,1.0
2023-01-03 22:00:00,11.6,9.7,88.0,0.0,,12.0,3.7,,1026.0,,1.0
2023-01-03 23:00:00,11.0,9.1,88.0,0.0,,12.0,1.8,,1025.8,,1.0
2023-01-04 00:00:00,10.5,9.3,92.0,0.0,,360.0,5.4,,1025.4,,1.0
2023-01-04 01:00:00,10.3,8.2,87.0,0.0,,11.0,1.8,,1025.5,,1.0
2023-01-04 02:00:00,10.1,7.9,86.0,0.0,,7.0,1.8,,1025.3,,1.0
2023-01-04 03:00:00,9.6,6.5,81.0,0.0,,360.0,5.4,,1024.7,,1.0
2023-01-04 04:00:00,9.6,6.5,81.0,0.0,,129.0,3.7,,1024.9,,1.0
2023-01-04 05:00:00,9.6,6.3,80.0,0.0,,129.0,1.8,,1025.1,,1.0
2023-01-04 06:00:00,9.8,6.5,80.0,0.0,0.0,0.0,0.0,,1025.5,,1.0
2023-01-04 07:00:00,11.1,6.6,74.0,0.0,,126.0,0.0,,1025.6,,1.0
2023-01-04 08:00:00,12.7,6.9,68.0,0.0,,109.0,0.0,,1025.8,,1.0
2023-01-04 09:00:00,13.7,8.9,73.0,0.0,,0.0,0.0,,1025.8,,1.0
2023-01-04 10:00:00,14.8,8.5,66.0,0.0,,296.0,1.8,,1025.3,,1.0
2023-01-04 11:00:00,15.8,8.3,61.0,0.0,,296.0,1.8,,1024.9,,1.0
2023-01-04 12:00:00,18.2,10.1,59.0,0.0,,0.0,0.0,,1024.0,,1.0
2023-01-04 13:00:00,16.3,8.0,58.0,0.0,,347.0,1.8,,1024.3,,1.0
2023-01-04 14:00:00,15.8,8.0,60.0,0.0,,15.0,1.8,,1024.2,,1.0
2023-01-04 15:00:00,15.1,9.5,69.0,0.0,,360.0,9.4,,1024.0,,1.0
2023-01-04 16:00:00,14.3,9.1,71.0,0.0,,34.0,7.4,,1024.3,,1.0
2023-01-04 17:00:00,13.6,8.9,73.0,0.0,,38.0,5.5,,1024.6,,1.0
2023-01-04 18:00:00,12.6,8.1,74.0,0.0,,360.0,1.8,,1024.5,,1.0
2023-01-04 19:00:00,12.5,8.0,74.0,0.0,,37.0,3.7,,1025.0,,1.0
2023-01-04 20:00:00,12.1,7.6,74.0,0.0,,32.0,3.7,,1025.2,,1.0
2023-01-04 21:00:00,10.7,7.4,80.0,0.0,,30.0,1.8,,1025.0,,1.0
2023-01-04 22:00:00,10.6,7.3,80.0,0.0,,16.0,1.8,,1025.0,,1.0
2023-01-04 23:00:00,10.5,7.0,79.0,0.0,,6.0,1.8,,1025.0,,1.0
2023-01-05 00:00:00,10.0,7.2,83.0,0.0,,0.0,3.6,,1024.5,,1.0
2023-01-05 01:00:00,10.3,7.0,80.0,0.0,,358.0,3.7,,1024.8,,2.0
2023-01-05 02:00:00,10.3,7.0,80.0,0.0,,356.0,1.8,,1024.6,,2.0
2023-01-05 03:00:00,10.5,7.6,82.0,0.0,,30.0,3.6,,1023.4,,2.0
2023-01-05 04:00:00,10.3,7.4,82.0,0.0,,24.0,1.8,,1023.5,,2.0
2023-01-05 05:00:00,10.2,7.3,82.0,0.0,,14.0,1.8,,1023.7,,2.0
2023-01-05 06:00:00,9.2,7.5,89.0,0.0,0.0,0.0,0.0,,1023.4,,2.0
2023-01-05 07:00:00,11.5,7.4,76.0,0.0,,354.0,0.0,,1023.9,,2.0
2023-01-05 08:00:00,12.9,7.6,70.0,0.0,,331.0,1.8,,1023.9,,2.0
2023-01-05 09:00:00,13.6,9.1,74.0,0.0,,0.0,0.0,,1023.3,,2.0
2023-01-05 10:00:00,14.5,8.9,69.0,0.0,,287.0,1.8,,1022.7,,1.0
2023-01-05 11:00:00,15.3,8.8,65.0,0.0,,287.0,3.7,,1022.2,,2.0
2023-01-05 12:00:00,16.8,9.7,63.0,0.0,,220.0,7.6,,1021.1,,2.0
2023-01-05 13:00:00,15.7,8.7,63.0,0.0,,294.0,3.7,,1021.3,,2.0
2023-01-05 14:00:00,15.1,8.8,66.0,0.0,,308.0,1.8,,1021.0,,2.0
2023-01-05 15:00:00,13.7,9.3,75.0,0.0,,180.0,3.6,,1020.1,,2.0
2023-01-05 16:00:00,13.2,9.3,77.0,0.0,,171.0,3.7,,1020.2,,1.0
2023-01-05 17:00:00,12.5,9.3,81.0,0.0,,157.0,1.8,,1020.3,,1.0
2023-01-05 18:00:00,12.0,9.4,84.0,0.0,,0.0,5.4,,1020.3,,1.0
2023-01-05 19:00:00,11.7,9.1,84.0,0.0,,126.0,1.8,,1020.5,,1.0
2023-01-05 20:00:00,11.4,9.0,85.0,0.0,,77.0,1.8,,1020.6,,1.0
2023-01-05 21:00:00,11.7,10.3,91.0,0.0,,360.0,3.6,,1020.2,,1.0
2023-01-05 22:00:00,10.8,8.7,87.0,0.0,,356.0,3.7,,1020.5,,1.0
2023-01-05 23:00:00,10.5,8.6,88.0,0.0,,356.0,3.7,,1020.3,,1.0
2023-01-06 00:00:00,11.2,9.9,92.0,0.0,,360.0,3.6,,1019.8,,1.0
2023-01-06 01:00:00,10.1,8.4,89.0,0.0,,356.0,3.7,,1020.1,,1.0
2023-01-06 02:00:00,10.0,8.1,88.0,0.0,,355.0,3.7,,1020.1,,1.0
2023-01-06 03:00:00,10.2,8.5,89.0,0.0,,360.0,5.4,,1019.4,,1.0
2023-01-06 04:00:00,10.1,8.2,88.0,0.0,,274.0,3.7,,1019.9,,1.0
2023-01-06 05:00:00,10.1,7.9,86.0,0.0,,274.0,1.8,,1020.3,,1.0
2023-01-06 06:00:00,11.5,7.8,78.0,0.0,0.0,0.0,0.0,,1020.7,,2.0
2023-01-06 07:00:00,11.6,7.7,77.0,0.0,,296.0,0.0,,1021.3,,2.0
2023-01-06 08:00:00,13.1,7.8,70.0,0.0,,315.0,0.0,,1021.8,,2.0
2023-01-06 09:00:00,14.6,8.1,65.0,0.0,,280.0,5.4,,1022.3,,2.0
2023-01-06 10:00:00,15.4,7.7,60.0,0.0,,283.0,5.5,,1022.0,,1.0
2023-01-06 11:00:00,16.3,7.5,56.0,0.0,,286.0,5.5,,1021.6,,1.0
2023-01-06 12:00:00,18.7,8.4,51.0,0.0,,200.0,7.6,,1020.7,,1.0
2023-01-06 13:00:00,16.6,7.3,54.0,0.0,,297.0,3.7,,1021.3,,1.0
2023-01-06 14:00:00,16.0,7.2,56.0,0.0,,311.0,3.7,,1021.3,,1.0
2023-01-06 15:00:00,15.1,8.6,65.0,0.0,,360.0,5.4,,1021.1,,1.0
2023-01-06 16:00:00,14.3,8.0,66.0,0.0,,51.0,5.5,,1021.6,,1.0
2023-01-06 17:00:00,13.4,7.4,67.0,0.0,,51.0,3.7,,1022.0,,1.0
2023-01-06 18:00:00,12.2,8.5,78.0,0.0,,360.0,5.4,,1022.5,,1.0
2023-01-06 19:00:00,12.1,6.4,68.0,0.0,,48.0,3.7,,1022.8,,1.0
2023-01-06 20:00:00,11.7,6.0,68.0,0.0,,45.0,1.8,,1023.1,,1.0
2023-01-06 21:00:00,11.6,6.9,73.0,0.0,,360.0,5.4,,1023.5,,1.0
2023-01-06 22:00:00,11.3,6.6,73.0,0.0,,35.0,5.5,,1023.6,,1.0
2023-01-06 23:00:00,11.0,6.3,73.0,0.0,,35.0,3.7,,1023.7,,1.0
2023-01-07 00:00:00,11.2,5.7,69.0,0.0,,360.0,7.6,,1023.7,,1.0
2023-01-07 01:00:00,10.6,6.0,73.0,0.0,,29.0,3.7,,1023.8,,1.0
2023-01-07 02:00:00,10.6,5.8,72.0,0.0,,23.0,3.7,,1023.7,,1.0
2023-01-07 03:00:00,10.6,6.2,74.0,0.0,,360.0,5.4,,1023.1,,1.0
2023-01-07 04:00:00,10.5,6.1,74.0,0.0,,132.0,3.7,,1023.3,,1.0
2023-01-07 05:00:00,10.4,6.0,74.0,0.0,,132.0,1.8,,1023.5,,1.0
2023-01-07 06:00:00,9.8,4.4,69.0,0.0,,0.0,3.6,,1023.8,,1.0
2023-01-07 07:00:00,11.7,6.2,69.0,0.0,,286.0,0.0,,1024.0,,1.0
2023-01-07 08:00:00,13.1,6.4,64.0,0.0,,337.0,1.8,,1024.3,,2.0
2023-01-07 09:00:00,14.7,5.2,53.0,0.0,,330.0,5.4,,1024.6,,2.0
2023-01-07 10:00:00,15.5,5.7,52.0,0.0,,327.0,5.5,,1024.1,,1.0
2023-01-07 11:00:00,16.2,6.0,51.0,0.0,,322.0,5.5,,1023.6,,1.0
2023-01-07 12:00:00,17.5,6.4,48.0,0.0,,210.0,9.4,,1022.4,,1.0
2023-01-07 13:00:00,16.2,6.9,54.0,0.0,,339.0,3.7,,1022.7,,1.0
2023-01-07 14:00:00,15.6,7.1,57.0,0.0,,6.0,3.7,,1022.4,,1.0
2023-01-07 15:00:00,15.0,7.5,61.0,0.0,,360.0,9.4,,1021.8,,2.0
2023-01-07 16:00:00,14.2,7.5,64.0,0.0,,111.0,7.4,,1022.0,,2.0
2023-01-07 17:00:00,13.5,7.5,67.0,0.0,,93.0,5.5,,1022.3,,2.0
2023-01-07 18:00:00,13.3,8.8,74.0,0.0,,0.0,9.4,,1022.5,,1.0
2023-01-07 19:00:00,12.2,7.1,71.0,0.0,,81.0,3.7,,1022.7,,1.0
2023-01-07 20:00:00,11.7,6.8,72.0,0.0,,71.0,1.8,,1022.8,,1.0
2023-01-07 21:00:00,12.7,7.2,69.0,0.0,,360.0,3.6,,1023.0,,1.0
2023-01-07 22:00:00,12.2,6.9,70.0,0.0,,36.0,3.7,,1022.9,,2.0
2023-01-07 23:00:00,11.7,6.4,70.0,0.0,,36.0,1.8,,1022.7,,2.0
2023-01-08 00:00:00,9.6,6.5,81.0,0.0,,0.0,3.6,,1022.2,,2.0
2023-01-08 01:00:00,10.8,6.0,72.0,0.0,,34.0,1.8,,1022.4,,2.0
2023-01-08 02:00:00,10.4,5.8,73.0,0.0,,33.0,1.8,,1022.2,,2.0
2023-01-08 03:00:00,9.7,5.1,73.0,0.0,,360.0,3.6,,1021.5,,2.0
2023-01-08 04:00:00,9.7,4.9,72.0,0.0,,39.0,1.8,,1021.7,,2.0
2023-01-08 05:00:00,9.5,4.7,72.0,0.0,,39.0,1.8,,1021.9,,2.0
2023-01-08 06:00:00,8.7,6.1,84.0,0.0,,360.0,3.6,,1021.9,,2.0
2023-01-08 07:00:00,10.8,4.9,67.0,0.0,,345.0,0.0,,1022.3,,2.0
2023-01-08 08:00:00,12.2,5.1,62.0,0.0,,342.0,0.0,,1022.5,,1.0
2023-01-08 09:00:00,14.2,7.7,65.0,0.0,,320.0,5.4,,1022.2,,1.0
2023-01-08 10:00:00,14.9,7.2,60.0,0.0,,315.0,5.5,,1021.8,,1.0
2023-01-08 11:00:00,15.6,6.9,56.0,0.0,,308.0,5.5,,1021.5,,1.0
2023-01-08 12:00:00,17.0,7.3,53.0,0.0,,240.0,7.6,,1020.7,,1.0
2023-01-08 13:00:00,15.7,6.4,54.0,0.0,,318.0,3.7,,1021.0,,1.0
2023-01-08 14:00:00,15.2,6.5,56.0,0.0,,349.0,3.7,,1020.9,,1.0
2023-01-08 15:00:00,14.6,9.0,69.0,0.0,,360.0,1.8,,1020.4,,1.0
2023-01-08 16:00:00,13.7,6.3,61.0,0.0,,30.0,1.8,,1021.1,,1.0
2023-01-08 17:00:00,12.7,6.3,65.0,0.0,,45.0,1.8,,1021.4,,1.0
2023-01-08 18:00:00,12.2,8.7,79.0,0.0,,360.0,5.4,,1021.1,,1.0
2023-01-08 19:00:00,11.2,6.1,71.0,0.0,,60.0,1.8,,1021.8,,1.0
2023-01-08 20:00:00,10.7,6.1,73.0,0.0,,50.0,1.8,,1021.9,,1.0
2023-01-08 21:00:00,9.1,7.7,91.0,0.0,,0.0,0.0,,1021.5,,1.0
