月份,总月发电量 (kWh),10 MW以下发电量 (kWh),10 MW以上发电量 (kWh),10 MW以上耗电量 (kWh),10 MW以上耗电占比 (%),50 MW以下发电量 (kWh),50 MW以上发电量 (kWh),50 MW以上耗电量 (kWh),50 MW以上耗电占比 (%),90 MW以下发电量 (kWh),90 MW以上发电量 (kWh),90 MW以上耗电量 (kWh),90 MW以上耗电占比 (%)
Month,Total Monthly Generation (kWh),Generation Below 10 MW (kWh),Generation Above 10 MW (kWh),Consumption Above 10 MW (kWh),Consumption Above 10 MW % of Total Gen,Generation Below 50 MW (kWh),Generation Above 50 MW (kWh),Consumption Above 50 MW (kWh),Consumption Above 50 MW % of Total Gen,Generation Below 90 MW (kWh),Generation Above 90 MW (kWh),Consumption Above 90 MW (kWh),Consumption Above 90 MW % of Total Gen
1,"15,145,870","129,181","15,016,690","14,198,050",93.74,"4,205,453","10,940,417","10,121,780",66.83,"7,937,230","7,208,640","6,390,000",42.19
2,"17,840,440","104,161","17,736,280","15,417,540",86.42,"3,139,732","14,700,708","12,381,970",69.4,"7,871,698","9,968,742","7,650,000",42.88
3,"28,059,090","112,162","27,946,930","21,654,330",77.17,"2,941,502","25,117,590","18,824,990",67.09,"9,346,491","18,712,599","12,420,000",44.26
4,"34,134,550","172,082","33,962,470","24,484,850",71.73,"2,665,686","31,468,860","21,991,250",64.43,"7,106,932","27,027,618","17,550,000",51.41
5,"41,235,270","94,245","41,141,030","28,307,990",68.65,"3,236,184","37,999,090","25,166,050",61.03,"6,622,231","34,613,039","21,780,000",52.82
6,"48,239,290","30,443","48,208,850","31,022,190",64.31,"2,367,837","45,871,460","28,684,800",59.46,"4,052,638","44,186,652","27,000,000",55.97
7,"50,559,990","12,480","50,547,510","32,357,090",64,"1,863,901","48,696,090","30,505,670",60.34,"3,029,573","47,530,417","29,340,000",58.03
8,"44,243,690","176,880","44,066,810","29,589,870",66.88,"1,044,832","43,198,850","28,721,920",64.92,"5,376,752","38,866,938","24,390,000",55.13
9,"36,102,070","59,081","36,042,990","25,967,740",71.93,"1,586,432","34,515,640","24,440,390",67.7,"3,706,822","32,395,248","22,320,000",61.82
10,"23,922,630","131,768","23,790,860","20,267,630",84.72,"2,428,054","21,494,580","17,971,340",75.12,"7,619,395","16,303,235","12,780,000",53.42
11,"13,946,980","176,861","13,770,120","13,229,160",94.85,"3,922,124","10,024,850","9,483,901",68,"8,816,025","5,130,955","4,590,000",32.91
12,"12,813,520","158,329","12,655,190","12,384,610",96.65,"4,110,289","8,703,226","8,432,647",65.81,"8,492,936","4,320,584","4,050,000",31.61
